title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Fairy Tail: The Phoenix Priestess,movie,"""Action, Adventure, Animation""",2012,tt2085795,7,2490,"""BE, BF, CD, CH, CI, FR, GF, IT, MC, MG, ML, NE, PF, SM, SN, VA"""
"Faith, Love & Chocolate",movie,"""Comedy, Drama, Family""",2018,tt4318696,5.6,114,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, UY, VE"""
Faith's Song,movie,"""Drama""",2017,tt6229100,4.5,278,"""AU, CA, IS, US"""
Fake Plastic Planet,movie,"""Drama, Mystery""",2019,tt8985236,6.6,7,"""JP"""
Falaknuma Das,movie,"""Action, Thriller""",2019,tt9799984,6.3,990,"""AE, AG, AO, AR, AU, BB, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CI, CL, CM, CO, CR, CU, DO, DZ, EC, EG, GB, GF, GG, GH, GI, GT, GY, HK, HN, ID, IL, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LY, MA, MG, ML, MW, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PG, PH, PK, PS, PY, QA, SA, SG, SN, SV, TC, TD, TH, TN, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"""
Falling Rocks,movie,"""Drama, Thriller""",2000,tt0258562,5.4,276,"""AT, CH, DE"""
Falling Up,movie,"""Comedy, Drama, Romance""",2009,tt1084955,5.6,2767,"""GB, GG, US"""
Fallout,tv,"""Crime, Drama""",2019,tt10726800,6.8,78,"""SN"""
Faltas a la moral,movie,"""Drama""",1970,tt0225684,5.7,61,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"""
Famalam,tv,"""Comedy""",2018,tt7440784,6.5,449,"""US"""
Family,movie,"""Comedy""",2018,tt6268882,6.4,3485,"""US"""
Family First,movie,"""Drama""",2018,tt8042452,6.9,594,"""CA"""
Family Fox on Expedition,movie,"""Adventure, Family""",2020,tt13130662,6,165,"""AR, BO, BZ, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"""
Family Home,movie,"""Horror""",2023,tt13508126,3.4,8,"""GB, GG, IE"""
Family Practice,movie,"""Drama""",2018,tt8432066,5.6,255,"""AT, CA, DE, FR, US"""
Family Sins,movie,"""Drama""",2004,tt0378337,6.3,1020,"""US"""
Fanged Up,movie,"""Comedy, Horror""",2017,tt5078886,4.4,1876,"""AG, AU, BB, BM, BS, BZ, CM, GB, GG, GH, GI, GY, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, ZA"""
Far from the Apple Tree,movie,"""Fantasy""",2019,tt6910670,5,101,"""US"""
Fast & Furious,movie,"""Action, Crime, Thriller""",2009,tt1013752,6.5,317217,"""AD, AE, AG, AL, AR, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, CA, CH, CI, CL, CO, CR, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MK, MT, MX, MY, MZ, NE, NG, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, UG, UY, VE, YE, ZA, ZM"""
Fast Bullets,movie,"""Western""",1936,tt0027610,5,137,"""US"""
Fat People,movie,"""Comedy, Drama""",2009,tt1166810,6.5,3061,"""AD, ES"""
Fat Tony & Co,tv,"""Crime""",2014,tt3457530,7.1,684,"""CA, US"""
Fatal Call,movie,"""Thriller""",2012,tt2059193,4.2,583,"""IE"""
Fatal Friend Request,movie,"""Thriller""",2019,tt9119200,5.1,252,"""BE, CH, FR, GF, PF"""
Fatal Instinct,movie,"""Action""",2014,tt3036654,4.5,576,"""BB, BE, BF, BM, BS, BZ, CA, CD, CH, CI, FR, GB, GF, GG, IE, IT, JM, LC, MC, MG, ML, NE, PF, SM, SN, TC, TT, US, VA"""
Fated,movie,"""Thriller""",2024,tt29353645,6.2,70,"""GB, GG, IE"""
Father,movie,"""Drama, War""",1990,tt0097339,7,190,"""CA, GB, GG"""
